# Rectangle measurements for the 8x8 grid in crypto5fix.png, row-major order (rectangle 1 = top-left).
# W, H = outer width and height in pixels. O = W*H (outer area). I = inner area (area inside the border).
# S = O - I (shell / border area). Measured directly from the published image; matches the author own MATLAB script output 64/64.
index,W,H,O,I,S
1,58,108,6264,3780,2484
2,60,59,3540,2156,1384
3,72,70,5040,3968,1072
4,44,61,2684,1428,1256
5,60,53,3180,1950,1230
6,83,46,3818,2860,958
7,36,32,1152,420,732
8,45,67,3015,1755,1260
9,22,23,506,72,434
10,24,20,480,180,300
11,47,32,1504,1170,334
12,65,60,3900,2950,950
13,52,41,2132,1950,182
14,25,34,850,552,298
15,53,81,4293,2457,1836
16,86,49,4214,3096,1118
17,81,73,5913,4425,1488
18,73,46,3358,2420,938
19,45,31,1395,609,786
20,63,40,2520,1938,582
21,21,38,798,330,468
22,44,24,1056,240,816
23,40,66,2640,1240,1400
24,41,95,3895,2125,1770
25,80,55,4400,3010,1390
26,47,58,2726,1540,1186
27,61,96,5856,4028,1828
28,42,54,2268,1040,1228
29,71,43,3053,1769,1284
30,65,68,4420,2640,1780
31,66,49,3234,1566,1668
32,94,55,5170,3478,1692
33,32,22,704,96,608
34,43,49,2107,1521,586
35,52,64,3328,2520,808
36,32,49,1568,902,666
37,61,73,4453,3213,1240
38,71,50,3550,2332,1218
39,46,32,1472,560,912
40,33,34,1122,300,822
41,30,23,690,30,660
42,43,33,1419,961,458
43,56,62,3472,2352,1120
44,46,63,2898,1764,1134
45,28,24,672,224,448
46,23,51,1173,123,1050
47,39,56,2184,1404,780
48,51,31,1581,527,1054
49,89,84,7476,6006,1470
50,57,49,2793,1961,832
51,67,52,3484,2530,954
52,96,55,5280,4042,1238
53,20,6,120,8,112
54,12,10,120,32,88
55,57,65,3705,2303,1402
56,52,100,5200,3332,1868
57,67,87,5829,4187,1642
58,43,59,2537,2255,282
59,48,34,1632,720,912
60,66,59,3894,2296,1598
61,59,70,4130,3762,368
62,44,52,2288,768,1520
63,46,30,1380,380,1000
64,29,64,1856,1200,656
